Variable,Value
0-10,5.77081925594
11-20,18.9884026797
21-30,21.2564771301
31-40,21.3946426798
41-50,21.507134709
51-60,21.1747528896
61-70,18.2345394987
71-80,12.439971275
81-90,9.48604596623
